Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
10/7/2012,67.11052282,76.44312102,68.47225723,75.5763233,67.39839461,74.86723131,66.42520423,74.71535861,65.37244758,72.2864015
10/8/2012,67.07876692,76.3508112,68.42278675,75.58439059,67.32763001,74.86924486,66.43536584,74.73086151,65.30871106,72.29740546
10/9/2012,67.07720109,76.35122739,68.44765318,75.57986225,67.33610565,74.84664375,66.3771253,74.69958421,65.30927513,72.24337653
10/10/2012,67.155001,76.33883673,68.45378212,75.56600744,67.37933757,74.80255043,66.39381031,74.64326543,65.34757755,72.2465129
10/11/2012,67.11954166,76.24001316,68.34448664,75.58188674,67.31523351,74.74669741,66.40612459,74.64201754,65.27621696,72.18612473
10/12/2012,67.19352356,76.24592451,68.3457051,75.55501648,67.30254511,74.73199808,66.40796901,74.58198672,65.25783345,72.14390139
10/13/2012,67.24707624,76.23803708,68.33893115,75.54235743,67.25230817,74.6817292,66.34756453,74.54864731,65.22242993,72.07978611
10/14/2012,67.25018111,76.17295496,68.34725237,75.47541115,67.25149973,74.69327954,66.36898998,74.55720018,65.16581156,72.06425107
10/15/2012,67.33620144,76.13032675,68.33482593,75.45343627,67.3154657,74.68503057,66.32941312,74.54356826,65.16718159,72.0362944
10/16/2012,67.41639568,76.12679058,68.33578172,75.4256908,67.3622525,74.64915939,66.34831669,74.50532016,65.2051358,72.02713957
10/17/2012,67.42742515,76.07643612,68.28973293,75.43287224,67.38139767,74.64818666,66.32584891,74.50155368,65.15735726,71.9903811
10/18/2012,67.44091743,76.03579508,68.23991845,75.41660432,67.38963474,74.6659048,66.34803609,74.52234402,65.1965788,71.99530638
10/19/2012,67.43705949,75.99932018,68.24317867,75.45614966,67.39409472,74.59778271,66.34572786,74.53406849,65.19262314,71.97072558
10/20/2012,67.36861112,75.94919827,68.24933772,75.4340404,67.42990393,74.57842335,66.34750439,74.51330648,65.15923851,71.96605375
10/21/2012,67.40865921,75.89601373,68.18371198,75.44239764,67.39118595,74.56011631,66.34508755,74.49467545,65.16733936,71.94829693
10/22/2012,67.48142469,75.89648446,68.18713673,75.41671525,67.45946389,74.52141379,66.36529027,74.46442341,65.20990132,71.94351026
10/23/2012,67.53933473,75.88019382,68.26866353,75.40164707,67.45557532,74.49748781,66.35086724,74.44485739,65.16284608,71.92104533
10/24/2012,67.55275934,75.78381521,68.18041069,75.35614129,67.4639534,74.48672215,66.36364193,74.38991999,65.20445674,71.92199125
10/25/2012,67.49676785,75.72937118,68.2814499,75.34019205,67.39466351,74.48960784,66.32480317,74.38353605,65.22802322,71.90828679
10/26/2012,67.49345184,75.73634842,68.29053033,75.31963957,67.36657185,74.42762457,66.31263916,74.37869436,65.20396838,71.86995261
10/27/2012,67.48530467,75.72799074,68.32780913,75.29193538,67.38200647,74.38617415,66.33143215,74.35592224,65.17193453,71.86061961
10/28/2012,67.54334013,75.72789414,68.33761611,75.26324639,67.45684716,74.36745819,66.35205129,74.32316294,65.21581743,71.87027831
10/29/2012,67.63000801,75.72807266,68.27509101,75.25158182,67.47098501,74.3546031,66.33833167,74.30323623,65.22737972,71.85374111
10/30/2012,67.60213806,75.73115791,68.30065006,75.24872309,67.46683987,74.33966507,66.35417143,74.27444689,65.22796567,71.80686968
10/31/2012,67.62925172,75.68277845,68.24862246,75.206228,67.39891997,74.32049002,66.33172611,74.2689575,65.1606338,71.81920641
11/1/2012,67.6679766,75.63763748,68.17820542,75.14609053,67.4077346,74.27616254,66.28073948,74.27244798,65.17135071,71.84350446
11/2/2012,67.66737108,75.60112553,68.09203176,75.10211154,67.41518206,74.28336444,66.29724816,74.25311605,65.18251451,71.80806464
11/3/2012,67.70967345,75.61266392,68.10602859,75.0798501,67.48411378,74.24556555,66.32130688,74.25163308,65.22965545,71.80557081
11/4/2012,67.7221759,75.63019208,68.05418915,75.06223565,67.48481413,74.22899871,66.35049034,74.26079954,65.19600729,71.8025362
11/5/2012,67.70484309,75.62037738,68.07692329,75.04034127,67.50926285,74.244273,66.36211037,74.263057,65.23241866,71.79792962
11/6/2012,67.78701084,75.56628594,68.17028608,75.06554714,67.51517375,74.29552653,66.38418969,74.27595367,65.26151242,71.81662957
11/7/2012,67.79476153,75.57445972,68.20060577,75.09852796,67.50301346,74.31264661,66.38177483,74.26586021,65.30697626,71.80265908
11/8/2012,67.81040443,75.56301146,68.22467751,75.11641598,67.48814458,74.33611416,66.39369938,74.26979867,65.35689122,71.78553229
11/9/2012,67.84504072,75.58510237,68.25008027,75.09166759,67.52871544,74.32831757,66.42279774,74.26307356,65.40471138,71.79647266
11/10/2012,67.90969521,75.58926601,68.26156877,75.10614436,67.47874164,74.34668041,66.41680418,74.30412973,65.38659017,71.81178151
11/11/2012,67.92030004,75.58757175,68.21086485,75.08267422,67.42023759,74.31935684,66.40495199,74.29586158,65.37671099,71.79978284
11/12/2012,67.97241398,75.59502591,68.13670428,75.04111899,67.43627195,74.2806899,66.37565702,74.3250128,65.42584882,71.81374593
11/13/2012,67.94275839,75.59238857,68.1136976,75.0501257,67.38457959,74.29272176,66.38011258,74.35454079,65.43363388,71.82505251
11/14/2012,67.83671734,75.58255652,68.21430609,75.08237091,67.34197344,74.3098089,66.34915406,74.38385822,65.37684543,71.85553539
11/15/2012,67.8626903,75.60261031,68.24053601,75.05986025,67.3872947,74.31383614,66.38028708,74.37457661,65.42861911,71.86943578
11/16/2012,67.92396183,75.62112736,68.26477278,75.0691833,67.3995393,74.30319019,66.36956748,74.40841095,65.40889057,71.89430508
11/17/2012,67.9668289,75.6166362,68.22741631,75.08545169,67.42408861,74.33485007,66.37903847,74.38534609,65.45570689,71.87228523
11/18/2012,68.04378753,75.62284218,68.20566881,75.1112378,67.37219775,74.36704848,66.40845564,74.37896096,65.49813629,71.90667167
11/19/2012,68.03949999,75.64734208,68.16524108,75.07881271,67.32915487,74.36609159,66.43475612,74.33542714,65.4925437,71.89262221
11/20/2012,67.94196838,75.67461719,68.09212414,75.07262877,67.35613131,74.35710053,66.42078901,74.31971674,65.52276902,71.8864954
11/21/2012,67.9723564,75.6871452,68.13026356,75.07153346,67.40277494,74.36041253,66.44534846,74.31738444,65.57730323,71.91548818
11/22/2012,68.02900322,75.7237214,68.07170122,75.10612469,67.36969255,74.37396772,66.5042963,74.34773312,65.62108259,71.9482986
11/23/2012,67.93893567,75.75051038,68.05605019,75.06408057,67.34744347,74.39601269,66.49104981,74.34715057,65.59583683,71.98875874
11/24/2012,67.95934247,75.8009309,68.03636476,75.12437235,67.37471021,74.42113287,66.50928716,74.35755977,65.6441308,72.02492218
11/25/2012,67.96587053,75.83157772,68.0051511,75.19683239,67.337057,74.4372595,66.46677796,74.38046147,65.64222562,71.99687449
11/26/2012,67.99318687,75.84259094,68.03694983,75.2234703,67.2918101,74.44040954,66.51237008,74.38859258,65.60963955,71.998257
11/27/2012,68.02220788,75.88977627,68.07265218,75.22604628,67.36565628,74.46401825,66.53141235,74.40411092,65.66413604,72.03375856
11/28/2012,68.03985644,75.93854824,68.08243895,75.19610227,67.38041791,74.50336526,66.53141566,74.40287753,65.64842282,72.04216236
11/29/2012,68.05961669,75.90521035,68.01171748,75.18420696,67.4123883,74.5344124,66.52224037,74.40613033,65.60463011,72.02013171
11/30/2012,67.96231559,75.91790941,68.043549,75.19442837,67.35221381,74.57211598,66.4731343,74.41677566,65.6460269,72.01017659
12/1/2012,67.99109331,75.93433328,68.07287314,75.11788596,67.36270012,74.6221637,66.4813265,74.41113783,65.64937748,72.03152875
12/2/2012,68.06348973,75.95557749,68.0756798,75.17642762,67.31588239,74.66529016,66.52823061,74.42397335,65.64272328,72.05641998
12/3/2012,68.09131581,76.00758977,68.10605502,75.20841053,67.3671441,74.69573264,66.54281715,74.43801134,65.69827016,72.10211424
12/4/2012,68.11950371,76.00289202,68.1404956,75.25590001,67.36695009,74.72775239,66.59997349,74.44735372,65.72643578,72.13907686
12/5/2012,68.12026286,76.03856134,68.09882094,75.1962125,67.29351435,74.76280027,66.57226903,74.4616893,65.7141928,72.19107398
12/6/2012,68.14203833,75.99255111,68.13366866,75.15427897,67.30842808,74.79742244,66.59512748,74.47247699,65.75542452,72.22543913
12/7/2012,68.21606663,76.00668382,68.14455407,75.12080068,67.34717666,74.83547289,66.57051451,74.44912018,65.74207608,72.23975775
12/8/2012,68.12496281,76.02134742,68.19463873,75.12754118,67.35608465,74.85525847,66.53297628,74.47640736,65.66205639,72.22093351
12/9/2012,68.14618738,76.06183204,68.23485819,75.13713098,67.42241287,74.89506379,66.54033745,74.49885148,65.71636817,72.25898299
12/10/2012,68.15130378,76.11165318,68.18851211,75.09359566,67.49197453,74.9446002,66.52952986,74.5170354,65.7743356,72.24403052
12/11/2012,68.1705476,76.14492281,68.19831859,75.13391677,67.5276715,74.96785424,66.51622642,74.5599517,65.80237308,72.25361105
12/12/2012,68.17982322,76.11056991,68.15490994,75.12470465,67.58721961,74.96215128,66.54551533,74.57728509,65.79781286,72.25074533
12/13/2012,68.22140009,76.15562669,68.09745077,75.18992003,67.61611267,75.00744185,66.52895035,74.63269545,65.81669992,72.31428055
12/14/2012,68.19409306,76.129737,68.15034863,75.15780752,67.66818642,75.02756347,66.51597945,74.66425621,65.83377112,72.33891094
12/15/2012,68.21104176,76.18187683,68.20998427,75.16368241,67.72116872,75.063206,66.52822344,74.70352448,65.89220518,72.38002192
12/16/2012,68.13780472,76.22706832,68.26139487,75.13969556,67.77731764,75.11938125,66.52785316,74.69615281,65.84156642,72.36095384
12/17/2012,68.18970923,76.27262064,68.29524604,75.10678816,67.75448712,75.11155391,66.48775527,74.74243365,65.89864033,72.34430426
12/18/2012,68.23073579,76.27836294,68.33824225,75.14223126,67.73404176,75.13927179,66.53048193,74.76843589,65.90927419,72.40503077
12/19/2012,68.12611228,76.33267356,68.37332492,75.16686953,67.76803475,75.15937803,66.53948045,74.79807775,65.95817842,72.38877466
12/20/2012,68.10549902,76.39306425,68.3273951,75.17427482,67.79570795,75.1666587,66.51882881,74.8508773,65.89921419,72.42298213
12/21/2012,68.11801377,76.44182906,68.39184367,75.17245594,67.84269765,75.16891296,66.52085462,74.87830219,65.9567066,72.46667132
12/22/2012,68.11886562,76.47821471,68.40681309,75.18023525,67.82808699,75.23132592,66.48002656,74.92883099,65.95085227,72.50291798
12/23/2012,68.11167665,76.53374813,68.45710414,75.14701255,67.86211505,75.27839283,66.53091907,74.94962698,65.91248241,72.52779542
12/24/2012,68.10749799,76.5145855,68.42588399,75.14533188,67.81619314,75.3085268,66.5526358,74.98498916,65.92259544,72.50701544
12/25/2012,68.06214103,76.56691211,68.37641731,75.11169559,67.8784619,75.36736853,66.57000618,75.01415878,65.92612614,72.50420771
