,Value1,Value2,Value3,Value4
10/7/2012,0.058332878,0.071831632,0.083241906,0.043066556
10/8/2012,0.058995215,0.074005713,0.084435422,0.044541042
10/9/2012,0.060236437,0.074226622,0.083926071,0.044443088
10/10/2012,0.061455442,0.073844084,0.084457444,0.0450814
10/11/2012,0.06136076,0.07560877,0.082836808,0.045118365
10/12/2012,0.061664827,0.073278627,0.084879242,0.044172225
10/13/2012,0.061943894,0.0745929,0.0826263,0.044658577
10/14/2012,0.061230529,0.07417159,0.082021925,0.04384008
10/15/2012,0.06227975,0.075807754,0.084372284,0.04427223
10/16/2012,0.059890278,0.075114752,0.084506031,0.043973973
10/17/2012,0.062371258,0.075504956,0.082238,0.044170809
10/18/2012,0.060837053,0.07464759,0.08055198,0.043601543
10/19/2012,0.061090141,0.074832218,0.08078705,0.043524489
10/20/2012,0.062598662,0.075488159,0.080625568,0.044679281
10/21/2012,0.06234069,0.07560125,0.080398164,0.04424552
10/22/2012,0.061629767,0.075284291,0.080999316,0.044688364
10/23/2012,0.061884955,0.075991845,0.083304165,0.044548562
10/24/2012,0.061246301,0.074032521,0.080165926,0.043482104
10/25/2012,0.061476293,0.07533195,0.081762195,0.04415616
10/26/2012,0.061843254,0.075819474,0.081511841,0.043554275
10/27/2012,0.062213096,0.075920553,0.080895698,0.043924801
10/28/2012,0.062625763,0.076406367,0.082293764,0.043765809
10/29/2012,0.062514039,0.074907662,0.081812491,0.043427413
10/30/2012,0.062606914,0.076501001,0.081133112,0.045041213
10/31/2012,0.062448557,0.076648225,0.08357327,0.044517115
11/1/2012,0.061328873,0.07514195,0.082565457,0.044142878
11/2/2012,0.061452024,0.076662337,0.080872357,0.043867279
11/3/2012,0.061278676,0.075561551,0.082165926,0.044179794
11/4/2012,0.061906343,0.075153474,0.082516822,0.043844572
11/5/2012,0.06188979,0.075884369,0.080264027,0.043732604
11/6/2012,0.061728356,0.075645491,0.081359051,0.043278187
11/7/2012,0.063210948,0.07551775,0.081347722,0.045092338
11/8/2012,0.06069144,0.076114312,0.080068558,0.044030421
11/9/2012,0.062270619,0.076443625,0.082008497,0.04452234
11/10/2012,0.061526784,0.077323258,0.083421114,0.044206993
11/11/2012,0.061508619,0.075803799,0.079355486,0.04417452
11/12/2012,0.060630548,0.076185702,0.082237219,0.044368768
11/13/2012,0.062684164,0.076531276,0.081332731,0.044790322
11/14/2012,0.061219151,0.075748181,0.082364959,0.044375555
11/15/2012,0.061413106,0.076758875,0.081681918,0.045033107
11/16/2012,0.061580302,0.077017042,0.081991796,0.044675179
11/17/2012,0.061916549,0.075827628,0.081083842,0.044192002
11/18/2012,0.06114947,0.07548728,0.079663753,0.043656917
11/19/2012,0.061460569,0.075105376,0.078573661,0.044207383
11/20/2012,0.061383368,0.076713853,0.08184301,0.043969286
11/21/2012,0.060116168,0.075344109,0.081254016,0.044294253
11/22/2012,0.062262317,0.076085502,0.082185947,0.044432199
11/23/2012,0.060793691,0.0749144,0.082784657,0.044284828
11/24/2012,0.06178412,0.0763424,0.081285463,0.044677035
11/25/2012,0.06062464,0.07473822,0.079506861,0.043784511
11/26/2012,0.061512672,0.076694077,0.081013526,0.044539528
11/27/2012,0.061635871,0.076284487,0.080074564,0.044700913
11/28/2012,0.062393086,0.075968748,0.08021129,0.043932126
11/29/2012,0.060577225,0.076139558,0.079994726,0.045379511
11/30/2012,0.060348894,0.074789589,0.081326432,0.043911861
12/1/2012,0.061461839,0.076212608,0.081617218,0.044706431
12/2/2012,0.060919674,0.07606221,0.080226329,0.043869671
12/3/2012,0.06096616,0.075273353,0.07948225,0.043128961
12/4/2012,0.060197031,0.074812589,0.079347038,0.042922262
12/5/2012,0.061612872,0.076991308,0.081463646,0.043104644
12/6/2012,0.062087407,0.075831388,0.080927731,0.044375702
12/7/2012,0.060778895,0.075888813,0.081367205,0.043354217
12/8/2012,0.062264222,0.075717174,0.081277846,0.045160213
12/9/2012,0.060654329,0.076348747,0.079166952,0.044337419
12/10/2012,0.060836564,0.075146931,0.08072528,0.04398916
12/11/2012,0.060678793,0.076043313,0.079274867,0.044345915
12/12/2012,0.060815079,0.076158455,0.081370428,0.043719762
12/13/2012,0.060515699,0.076330631,0.080493872,0.043176766
12/14/2012,0.060748962,0.076049465,0.080591826,0.044359979
12/15/2012,0.059402656,0.074865032,0.07983217,0.044023048
12/16/2012,0.060527028,0.076733776,0.081932809,0.044242199
12/17/2012,0.06077079,0.075722936,0.080631183,0.045051223
12/18/2012,0.061741833,0.077801553,0.081163143,0.044402461
12/19/2012,0.061893549,0.076973534,0.081862835,0.044709898
12/20/2012,0.061243371,0.075463548,0.079192783,0.044677182
12/21/2012,0.060408956,0.076730211,0.08058206,0.044153621
12/22/2012,0.061595342,0.076023732,0.080134333,0.043750085
12/23/2012,0.060023878,0.075038137,0.077043606,0.043952439
12/24/2012,0.060836857,0.076331657,0.08231608,0.044576102
12/25/2012,0.060481371,0.074879877,0.081004004,0.043370038
12/26/2012,0.059133942,0.074981493,0.079530006,0.044441037
12/27/2012,0.060678207,0.075663069,0.079937106,0.044060647
12/28/2012,0.060732848,0.074540065,0.077848528,0.044543093
12/29/2012,0.061104595,0.076389423,0.078023048,0.043665169
12/30/2012,0.060747644,0.075227648,0.078771229,0.044579813
12/31/2012,0.060915084,0.07495073,0.078953074,0.043507203
