Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
1/13/2010,113.0925068,128.5905923,112.2646607,123.8537021,111.5664924,123.6110342,115.0283482,125.390095,119.2431902,126.691901
1/14/2010,112.5059881,127.9276133,111.620528,123.2290603,111.0283841,123.0270579,114.3935754,124.7877767,118.5292674,126.0653042
1/15/2010,111.8909756,127.3231317,111.0624115,122.6017876,110.4703832,122.4461231,113.824233,124.096707,117.8210072,125.3932053
1/16/2010,111.3344085,126.682624,110.4318557,121.9784765,109.9223335,121.8548692,113.2285363,123.3887885,117.1125689,124.7268928
1/17/2010,110.7700116,126.0103908,109.8103857,121.4551429,109.4187399,121.2359308,112.6064427,122.7426176,116.4806181,124.0515333
1/18/2010,110.2072555,125.3823861,109.1799878,120.8640168,108.8260094,120.6452457,111.9924482,122.1286214,115.8671558,123.3513381
1/19/2010,109.6566046,124.7568504,108.6247054,120.2633471,108.2226646,120.0305941,111.4253878,121.5415857,115.2456885,122.724261
1/20/2010,109.0964691,124.1400948,108.09261,119.673144,107.7108825,119.4203201,110.8557689,120.9936942,114.6309731,122.0619315
1/21/2010,108.525482,123.5372797,107.5054603,119.1861237,107.2314579,118.8841247,110.2667007,120.4130905,114.0337891,121.469535
1/22/2010,107.9734461,122.9514751,106.9607339,118.6365283,106.7540157,118.342513,109.7160982,119.8272144,113.4328905,120.8055376
1/23/2010,107.4610067,122.3911914,106.4373442,118.0772143,106.2625129,117.8400456,109.0985649,119.2625589,112.8303205,120.2249689
1/24/2010,106.9464897,121.8225415,105.8904202,117.5331639,105.7225309,117.323704,108.4819036,118.7183456,112.2342015,119.5935673
1/25/2010,106.4412522,121.2309631,105.334745,116.9649626,105.1451839,116.7568166,107.9529399,118.1523056,111.661027,119.0028316
1/26/2010,106.0277235,120.6611446,104.7584311,116.4146747,104.6456009,116.2002195,107.4234948,117.6384002,111.0463128,118.4482115
1/27/2010,105.5264696,120.1109957,104.2166044,115.8908294,104.1563425,115.7149359,106.9127057,117.0347256,110.4947056,117.9227479
1/28/2010,105.0185041,119.5527348,103.7239766,115.352382,103.7203449,115.2222717,106.3193654,116.54692,109.8913719,117.3820234
1/29/2010,104.5394022,119.0141294,103.2337031,114.8659155,103.2894329,114.690226,105.7474027,116.0180008,109.354252,116.81733
1/30/2010,104.1643427,118.4527628,102.7467576,114.3507659,102.8234893,114.2112187,105.2490474,115.4377708,108.822212,116.2650971
1/31/2010,103.6970369,117.9179355,102.2131546,113.81536,102.2676045,113.6771801,104.7590305,114.8726608,108.3063862,115.7289592
