Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Vibr1,Vibr2,Vibr3,Vibr4
5/29/2022 4:38:21 PM,66.40384,77.96244,65.30889,76.07322,67.78533,76.39208,65.51001,72.18238,64.36405,77.11913,0,97417.38,-0.09,0.046,0.012,-0.127
5/29/2022 4:38:22 PM,66.23553,77.97718,65.32711,75.97816,67.85944,76.42628,65.39974,72.13885,64.35873,77.12012,0,197882.6,-0.027,0.142,0.01,-0.059
5/29/2022 4:38:23 PM,66.2339,78.01295,65.3556,75.94345,67.82245,76.47163,65.37823,72.09993,64.34785,76.98138,0,298666.8,0.051,0.054,0.066,0.005
5/29/2022 4:38:24 PM,66.35928,77.91934,65.27309,76.04281,67.76109,76.39054,65.44949,72.16603,64.3891,76.93725,0,399313.5,0.083,0.151,0.042,0.015
5/29/2022 4:38:25 PM,66.2551,77.91647,65.29774,75.97512,67.82544,76.39307,65.4361,72.16148,64.41521,76.89505,0,499448.7,0.022,0.088,-0.017,-0.044
5/29/2022 4:38:26 PM,66.23403,77.92997,65.31272,75.99858,67.81805,76.40347,65.39659,72.16072,64.37597,67.233,0,599977.1,-0.002,0.134,0.078,-0.051
5/29/2022 4:38:27 PM,66.29464,78.05771,65.39677,75.87843,67.85734,76.48385,65.38509,72.12124,64.32454,76.7991,0,634384.9,-0.029,-0.061,-0.024,0
5/29/2022 4:38:28 PM,66.31061,77.8932,65.30955,76.03003,67.84787,76.42049,65.44608,72.18886,64.35766,76.70348,0,634384.9,0.029,-0.056,0.012,0.034
5/29/2022 4:38:29 PM,66.25188,78.03979,65.37222,75.86917,67.95154,76.49885,65.36795,72.14772,64.27475,76.57719,0,634384.9,0.01,0.066,0.046,0.046
5/29/2022 4:38:30 PM,64.70753,75.91998,67.42407,76.59136,68.31392,75.24506,63.61264,72.59328,66.49194,76.3672,0,634384.9,0.002,0.049,0.122,0.054
5/29/2022 4:38:31 PM,66.40024,77.93275,65.28591,76.08076,67.71625,76.4046,65.52843,72.20499,64.31229,76.31306,0,634384.9,-0.115,-0.02,-0.017,-0.027
5/29/2022 4:38:32 PM,64.82669,75.92433,67.37455,76.58354,68.31004,75.22602,63.58385,72.56345,66.4678,76.29748,0,634384.9,-0.159,-0.068,0.049,-0.051
5/29/2022 4:38:33 PM,66.32306,77.87436,65.32149,76.11597,67.75919,76.37711,65.56151,72.21561,64.24843,76.2953,0,634384.9,-0.122,0.051,0.056,0.02
5/29/2022 4:38:34 PM,64.67213,75.89106,67.42908,76.57631,68.33125,75.19256,63.61749,72.56762,66.53716,76.24367,0,554100.4,-0.081,-0.01,0.051,0.088
5/29/2022 4:38:35 PM,66.30704,77.82116,65.31448,76.08543,67.7655,76.35688,65.57823,72.20566,64.1749,76.16232,0,453666.1,-0.005,-0.056,-0.056,0.122
5/29/2022 4:38:36 PM,66.18353,78.03642,65.48466,75.89352,67.9212,76.50559,65.46954,72.16142,64.24288,67.65115,0,352956.3,0.054,0.063,-0.078,0.081
5/29/2022 4:38:37 PM,66.18472,78.07549,65.52283,75.97723,67.93658,76.55013,65.47986,72.18034,64.20534,76.14274,0,324779.7,0.139,0.212,0.002,-0.044
5/29/2022 4:38:38 PM,66.19294,78.05405,65.5177,75.9222,67.91064,76.52912,65.51994,72.15211,64.22687,76.11452,0,324779.7,0.024,0.093,-0.02,-0.1
5/29/2022 4:38:39 PM,66.3019,77.78863,65.29351,76.05087,67.81925,76.36638,65.629,72.22353,64.18661,76.06432,0,324779.7,0.039,0.007,-0.134,-0.068
5/29/2022 4:38:40 PM,64.68934,75.90481,67.45857,76.60943,68.2785,75.1524,63.64189,72.58713,66.55652,75.96264,0,324779.7,0.015,0.022,-0.132,-0.032
5/29/2022 4:38:41 PM,66.35268,77.8054,65.25047,76.04901,67.73521,76.35501,65.62454,72.20705,64.21858,75.89333,0,324779.7,0.015,0.149,0.015,-0.051
5/29/2022 4:38:42 PM,64.59923,75.90651,67.40384,76.62663,68.31993,75.1687,63.70032,72.54817,66.66623,75.92197,0,324779.7,0.02,0.144,0.012,-0.039
5/29/2022 4:38:44 PM,64.57715,75.86685,67.4285,76.60029,68.23284,75.16472,63.66206,72.59925,66.58092,75.91112,0,324779.7,-0.027,0.083,-0.024,-0.125
5/29/2022 4:38:45 PM,64.57849,75.93684,67.40624,76.64318,68.35335,75.17528,63.72398,72.52923,66.63631,75.76351,0,324779.7,-0.002,-0.029,-0.046,-0.093
5/29/2022 4:38:46 PM,66.20034,78.1445,65.50361,75.99429,67.92982,76.55592,65.46317,72.20881,64.1737,75.66318,0,324779.7,-0.056,-0.105,0.046,-0.027
5/29/2022 4:38:47 PM,64.59591,75.86593,67.39282,76.60745,68.23544,75.16666,63.69231,72.54902,66.60731,67.19849,0,324779.7,-0.039,-0.142,-0.042,0.095
5/29/2022 4:38:48 PM,64.85141,75.86711,67.4003,76.61783,68.25419,75.24659,63.64021,72.56635,66.4743,67.15013,0,324779.7,-0.015,0.012,-0.059,0.054
5/29/2022 4:38:49 PM,64.66807,75.90635,67.39184,76.60773,68.31371,75.13794,63.67217,72.56,66.62676,67.13217,0,324779.7,0.007,0.01,-0.002,0.005
5/29/2022 4:38:50 PM,66.25093,78.15105,65.55356,76.05598,67.89786,76.56344,65.4356,72.22622,64.23957,75.49717,0,324779.7,-0.063,-0.024,0.083,-0.061
5/29/2022 4:38:51 PM,64.5935,76.12554,67.39578,76.71878,68.17696,75.3284,63.80413,72.64774,66.57316,75.44924,0,324779.7,-0.122,-0.09,0.049,-0.007
5/29/2022 4:38:52 PM,64.55365,75.90879,67.36388,76.60538,68.3531,75.19524,63.74237,72.51356,66.61046,67.00632,0,324779.7,-0.149,-0.117,-0.049,0.051
5/29/2022 4:38:53 PM,64.88145,75.87751,67.36033,76.59988,68.21523,75.22441,63.58624,72.53034,66.43518,75.33275,0,324779.7,-0.061,-0.037,-0.103,0.073
5/29/2022 4:38:54 PM,66.40278,77.83341,65.20416,76.09921,67.71331,76.36147,65.58569,72.26385,64.2298,75.27614,0,324779.7,0.02,-0.081,-0.161,-0.037
5/29/2022 4:38:55 PM,66.37303,77.82046,65.26147,76.08843,67.69672,76.38638,65.59593,72.25362,64.17501,75.23074,0,324779.7,-0.024,-0.125,-0.073,-0.095
5/29/2022 4:38:56 PM,64.63171,76.13708,67.31911,76.71439,68.1403,75.32829,63.75721,72.61652,66.5433,75.17413,0,324779.7,-0.049,-0.032,0.073,-0.156
5/29/2022 4:38:57 PM,64.64045,75.88422,67.38719,76.62518,68.21684,75.16631,63.64251,72.55837,66.56224,66.75417,0,324779.7,-0.027,0.012,-0.083,-0.103
