B1,B2,B3,B4
-0.09,0.046,0.012,-0.127
-0.027,0.142,0.01,-0.059
0.051,0.054,0.066,0.005
0.083,0.151,0.042,0.015
0.022,0.088,-0.017,-0.044
-0.002,0.134,0.078,-0.051
-0.029,-0.061,-0.024,0
0.029,-0.056,0.012,0.034
0.01,0.066,0.046,0.046
0.002,0.049,0.122,0.054
-0.115,-0.02,-0.017,-0.027
-0.159,-0.068,0.049,-0.051
-0.122,0.051,0.056,0.02
-0.081,-0.01,0.051,0.088
-0.005,-0.056,-0.056,0.122
0.054,0.063,-0.078,0.081
0.139,0.212,0.002,-0.044
0.024,0.093,-0.02,-0.1
0.039,0.007,-0.134,-0.068
0.015,0.022,-0.132,-0.032
0.015,0.149,0.015,-0.051
0.02,0.144,0.012,-0.039
-0.027,0.083,-0.024,-0.125
-0.002,-0.029,-0.046,-0.093
-0.056,-0.105,0.046,-0.027
-0.039,-0.142,-0.042,0.095
-0.015,0.012,-0.059,0.054
0.007,0.01,-0.002,0.005
-0.063,-0.024,0.083,-0.061
-0.122,-0.09,0.049,-0.007
-0.149,-0.117,-0.049,0.051
-0.061,-0.037,-0.103,0.073
0.02,-0.081,-0.161,-0.037
-0.024,-0.125,-0.073,-0.095
-0.049,-0.032,0.073,-0.156
-0.027,0.012,-0.083,-0.103
0.059,0.027,-0.188,-0.059
0.015,-0.007,0.054,0
0,0.044,-0.083,-0.059
0.037,0.063,-0.176,-0.073
0.095,0.203,-0.173,-0.105
0.012,0.195,-0.056,-0.059
-0.044,-0.002,-0.007,-0.032
-0.081,0.042,-0.002,0
-0.012,-0.068,-0.01,-0.027
-0.049,-0.02,0.11,-0.037
-0.056,-0.037,0.178,-0.007
-0.059,-0.059,0.085,-0.002
-0.098,-0.164,0.11,0.049
-0.071,-0.063,0.034,0.059
-0.11,0.002,0.122,0.063
-0.176,-0.061,0.098,0.093
-0.225,-0.095,0.042,0.105
-0.11,-0.176,0.024,0.061
0.044,-0.049,0.098,0.017
0.046,-0.11,0.007,0.042
-0.01,0,-0.159,0.09
-0.015,0.093,-0.066,0.095
0.081,-0.044,-0.085,0.042
0.146,0.095,-0.029,-0.051
0.134,0.19,-0.044,-0.076
0.061,0.029,-0.039,0.022
0.017,-0.049,-0.068,0.059
-0.012,-0.01,-0.056,0.046
-0.042,0.005,-0.054,-0.061
-0.012,0.068,0.081,-0.063
0.044,-0.037,0.01,-0.051
0.083,-0.024,0.088,0.054
0.066,-0.078,0.137,0.107
-0.112,-0.085,0.02,0.149
-0.215,-0.139,0.049,0.022
-0.132,-0.093,0.02,-0.022
0.063,-0.154,0.081,-0.068
0.095,-0.139,0.054,-0.044
-0.02,0.032,-0.12,0.012
-0.078,0.044,-0.054,0.066
0.051,-0.002,0.117,0.073
0.168,-0.051,-0.078,-0.002
0.105,0.083,-0.083,-0.042
0.068,0.029,-0.073,-0.095
-0.007,0.068,-0.037,-0.02
0.024,0.12,0.029,0.01
0.049,0.22,0.059,-0.032
0.005,0.22,0.02,-0.061
-0.022,0.132,0.051,-0.11
0.024,0.059,0.063,-0.051
0.017,-0.012,0.022,-0.02
0.015,-0.032,-0.015,0.068
-0.051,0.017,0.005,0.039
-0.115,-0.012,0.183,-0.017
-0.073,0.029,0.095,0.007
-0.066,0.051,0.103,0.068
-0.088,-0.061,0.02,0.076
-0.132,-0.061,-0.002,0.022
0.002,-0.122,0.034,-0.034
0.027,-0.105,0.054,-0.049
0.1,-0.027,-0.007,-0.01
0.01,0.044,0.027,0.017
-0.005,0.149,0.005,-0.005
0.164,0.039,0.071,-0.01
0.137,0.029,0.044,-0.073
0.1,0.083,-0.193,-0.098
0.071,0.156,-0.212,-0.1
0.059,-0.027,-0.071,-0.076
0.039,0.061,0.061,-0.02
0.11,0.115,-0.078,0.024
0.071,0.081,-0.02,0.02
-0.054,-0.059,-0.017,0.049
-0.056,-0.02,0.127,-0.024
-0.02,-0.076,0.032,-0.005
-0.029,-0.173,-0.11,-0.01
-0.11,-0.154,-0.142,-0.037
-0.083,-0.112,0.063,0.024
-0.024,0.002,0.134,0.022
-0.049,-0.12,-0.015,0.046
-0.032,-0.073,0.237,0.103
0.027,-0.044,-0.002,0.078
0.066,0.007,-0.029,-0.005
0.076,-0.049,-0.154,-0.051
0.042,-0.005,-0.159,-0.012
0.083,0.146,0.076,0.01
0.122,-0.01,0.076,-0.012
0.161,-0.059,-0.129,-0.068
0.132,0.015,-0.017,-0.073
0.034,0.112,0.054,-0.056
-0.051,0.037,-0.027,0.007
-0.068,-0.024,-0.012,0.039
-0.012,0.095,0.046,0.012
-0.017,-0.027,0.027,-0.073
-0.005,-0.122,0.034,-0.081
0.046,-0.264,-0.007,0.029
-0.022,-0.103,0.029,0.09
-0.103,0.01,0.149,0.085
-0.129,-0.024,0.034,0.061
-0.042,-0.183,-0.032,0.002
0.054,-0.056,-0.11,0.029
0.007,-0.107,-0.015,0.034
-0.068,-0.017,0.049,0.034
-0.046,-0.059,-0.015,-0.01
0.083,0.059,-0.049,-0.068
0.132,0.071,-0.134,-0.066
0.054,-0.039,-0.015,-0.01
-0.022,0.054,-0.051,0
0.015,0.015,-0.085,-0.044
0.076,0.156,-0.122,-0.044
0.02,0.024,-0.081,-0.002
-0.09,0.042,-0.042,-0.022
-0.117,-0.061,-0.051,-0.005
0.024,-0.063,-0.029,0.051
-0.022,-0.054,0.063,0.042
-0.144,-0.081,0.195,0
-0.144,-0.068,0.015,0.017
-0.112,-0.042,-0.017,0.049
0.007,-0.073,-0.049,0.107
0.056,-0.161,-0.007,0.056
-0.051,-0.095,0.027,0.029
-0.078,-0.073,-0.059,-0.017
0.02,0.027,-0.042,-0.049
0.059,0.063,-0.01,-0.022
0.054,0.12,0.217,0.007
0.039,0.017,0.046,0.012
0.066,-0.032,-0.134,-0.002
0.144,0.042,-0.166,-0.02
0.159,0.149,-0.049,0.01
0.083,0.137,-0.149,0.068
0.024,-0.002,-0.085,0.032
0.017,-0.059,0.129,-0.005
0.005,-0.054,0.186,-0.02
-0.037,0.081,-0.054,0.005
0.007,-0.007,0.042,0
0.056,0.063,-0.012,-0.015
-0.015,0.007,0.098,0.037
-0.088,-0.261,0.076,0.071
-0.034,-0.129,0.049,0.1
0.088,-0.012,0.032,0.078
0.088,0.027,0.032,0.039
-0.007,-0.042,-0.068,0.012
0.022,-0.088,-0.017,-0.007
0.129,-0.005,0.095,-0.012
0.044,0.078,0.012,0.007
0.032,0.017,-0.127,-0.046
0.027,0.085,-0.198,-0.085
0.039,0.127,0.032,-0.015
0.032,0.144,0.007,-0.007
0.022,0.105,-0.151,-0.042
-0.012,-0.132,-0.217,-0.022
0.024,0.015,-0.132,-0.051
0.137,-0.051,0.068,-0.078
0.039,0.088,-0.146,0.007
-0.112,-0.027,-0.256,0.071
-0.122,-0.186,0.012,0.11
-0.117,-0.276,-0.049,0.076
-0.095,-0.205,-0.259,0.046
-0.063,-0.146,-0.027,0.012
-0.032,-0.149,0.181,0.139
0.051,-0.073,-0.007,0.107
0.139,-0.083,-0.112,0.044
0.122,-0.034,0.042,-0.01
0.007,-0.066,-0.171,-0.027
-0.024,-0.042,-0.171,0.032
0.068,0.022,-0.132,0.088
0.054,0.107,-0.039,-0.022
0.032,0.022,-0.122,-0.107
-0.01,-0.015,-0.105,-0.115
0.144,-0.046,-0.044,-0.042
0.105,-0.159,-0.088,0.039
-0.005,0.056,-0.081,0.105
-0.037,0.073,-0.081,-0.022
0.146,-0.168,0.154,-0.085
0.042,-0.261,-0.037,-0.01
-0.203,-0.103,-0.083,0.056
-0.286,-0.046,-0.095,0.085
-0.127,-0.173,0.11,0.032
0.107,-0.117,-0.02,-0.027
0.142,0.007,-0.144,-0.046
-0.117,-0.046,-0.039,0.022
-0.234,-0.144,0.107,0.046
0.073,-0.159,-0.01,0.059
0.383,0.007,-0.112,0.083
0.217,0.032,-0.022,0.007
-0.066,-0.005,-0.122,-0.037
-0.085,-0.02,-0.051,-0.093
0.061,-0.083,-0.164,0.01
0.059,-0.142,-0.11,0.068
0.071,-0.007,-0.142,0.054
0.142,0.127,0.002,-0.032
0.044,0.015,0,-0.012
-0.005,-0.007,-0.037,0.054
0.068,-0.068,-0.151,0.081
0.09,-0.088,-0.19,0.024
0.034,-0.015,-0.015,0.017
0,-0.054,-0.02,0.017
0.002,-0.002,-0.09,0.044
-0.068,-0.139,-0.024,0.098
-0.073,-0.1,0.037,0.039
0.024,-0.073,0.1,-0.012
0.129,-0.015,0.059,0.059
0.098,-0.073,0.002,0.105
0.046,-0.007,0.051,0.1
-0.063,-0.054,-0.012,0.051
0.01,-0.098,-0.01,0.024
0.227,0.044,0.027,0.029
0.127,-0.051,-0.01,0.02
-0.037,0.078,-0.044,-0.037
-0.068,-0.032,0.066,-0.037
-0.063,-0.139,0.037,0.017
0.063,0.02,-0.122,0.049
0.269,0.073,0.049,-0.007
